,clone_url,created_at,description,forks_count,full_name,id,language,name,size,stargazers_count,updated_at,topics,license_url
0,https://github.com/WangXuan95/FPGA-MPEG2-encoder.git,2022-12-06 08:43:19+00:00,FPGA-based high performance MPEG2 encoder for video compression. 基于 FPGA 的高性能 MPEG2 视频编码器，可实现视频压缩。,15,WangXuan95/FPGA-MPEG2-encoder,574865495,Verilog,FPGA-MPEG2-encoder,23265,87,2024-04-07 01:41:32+00:00,"['fpga', 'ip-core', 'mpeg-2', 'mpeg2', 'systemverilog', 'verilog', 'video', 'video-compression', 'video-compressor', 'video-encode', 'video-encoder', 'mpeg2-encoder']",https://api.github.com/licenses/gpl-3.0
1,https://github.com/Xilinx/AlveoLink.git,2022-12-12 12:56:05+00:00,"This repository contains IPs, Vitis kernels and software APIs that can be leveraged by Vitis users to build scale-out solutions on multiple Alveo cards.",3,Xilinx/AlveoLink,577306041,Verilog,AlveoLink,15684,16,2024-04-03 13:20:17+00:00,[],https://api.github.com/licenses/mit
2,https://github.com/OrsuVenkataKrishnaiah1235/RTL-Coding.git,2022-11-28 08:38:29+00:00,"""Mastering Verilog Programming for Digital Circuit Design: RTL and TestBench Codes Practice with HDL-BITS""",3,OrsuVenkataKrishnaiah1235/RTL-Coding,571486593,Verilog,RTL-Coding,9079,12,2024-04-03 11:22:40+00:00,"['asic-design', 'fpga', 'rtl', 'rtl-design-and-verification', 'verilog', 'rtl-coding', 'hdlbits', 'hdlbitssolution', 'vhdl']",None
3,https://github.com/TimRudy/uart-verilog.git,2022-12-02 03:32:14+00:00,"A simple 8 bit UART implementation in Verilog, with tests and timing diagrams",2,TimRudy/uart-verilog,573261971,Verilog,uart-verilog,28020,11,2024-02-29 09:50:18+00:00,"['digital-logic', 'eda', 'fpga', 'icestorm', 'iverilog', 'open-hardware', 'verilog-components', 'hardware-designs', 'serialport', 'uart-interface', 'uart-verilog']",https://api.github.com/licenses/gpl-3.0
4,https://github.com/grayresearch/s3ga.git,2022-11-30 18:51:54+00:00,S3GA: a simple scalable serial FPGA,3,grayresearch/s3ga,572661033,Verilog,s3ga,120,10,2024-02-16 03:11:08+00:00,[],https://api.github.com/licenses/apache-2.0
5,https://github.com/Boucii/RISC-V-Ladder.git,2022-11-27 08:36:48+00:00,"An out-of-order, dual issueed RISC-V core and SOC, a working project.",0,Boucii/RISC-V-Ladder,571123932,Verilog,RISC-V-Ladder,16791,10,2024-03-18 09:04:02+00:00,[],https://api.github.com/licenses/gpl-3.0
6,https://github.com/2006wzt/HUST-riscv-CPU.git,2022-12-07 10:19:00+00:00,HUST-2022-组原课程设计：单周期CPU->支持动态分支预测的五段流水CPU+团队任务（2048）,0,2006wzt/HUST-riscv-CPU,575353373,Verilog,HUST-riscv-CPU,16018,9,2024-03-18 12:30:54+00:00,[],None
7,https://github.com/grant-olson/fpga9685.git,2022-12-13 16:49:29+00:00,"A Verilog implemenation of an FPGA-based PCA-9685 clone. The PCA-9685 allows you to generate up to 16 pwm signals to drive LEDs, Servos, and more.",0,grant-olson/fpga9685,577844168,Verilog,fpga9685,133,8,2023-07-06 08:39:04+00:00,[],https://api.github.com/licenses/bsd-2-clause
8,https://github.com/henriquegreg/RISC-V-Implementation-Verilog.git,2022-11-27 19:12:08+00:00,Repositório do grupo 3 (Grupo Cessar) de PCS3115,5,henriquegreg/RISC-V-Implementation-Verilog,571293583,Verilog,RISC-V-Implementation-Verilog,4676,7,2024-01-21 22:24:48+00:00,[],None
9,https://github.com/lewiz-support/OmniXtend_RemoteAgent_RISC-V.git,2022-11-28 17:59:20+00:00,,1,lewiz-support/OmniXtend_RemoteAgent_RISC-V,571705658,Verilog,OmniXtend_RemoteAgent_RISC-V,5662,7,2024-02-16 08:03:52+00:00,[],None
10,https://github.com/HanLi05869/MIPS-Pipeline.git,2022-12-03 05:30:09+00:00,the MIPS 5-stage pipeline with 50 instructions,0,HanLi05869/MIPS-Pipeline,573690453,Verilog,MIPS-Pipeline,491,6,2023-10-06 09:15:52+00:00,[],https://api.github.com/licenses/mit
11,https://github.com/Mazamars312/Analogue-MPU-Template.git,2022-12-08 10:49:33+00:00,An Analogue MPU template for other devs to use for their cores,0,Mazamars312/Analogue-MPU-Template,575808698,Verilog,Analogue-MPU-Template,2737,6,2023-02-07 13:54:55+00:00,[],https://api.github.com/licenses/gpl-3.0
12,https://github.com/caaatch22/ToyMips.git,2022-11-25 03:00:23+00:00,Classic five stage pipeline CPU implementation base on MIPS arch and fully tested.,0,caaatch22/ToyMips,570374287,Verilog,ToyMips,1655,6,2023-12-08 03:15:28+00:00,[],https://api.github.com/licenses/mit
13,https://github.com/HassanKhaled11/APB_Bus_Connected_to_GPIO_and_UART.git,2022-12-09 19:34:58+00:00,Implementation of UART Controller and GPIO Controller connected to APB bus,4,HassanKhaled11/APB_Bus_Connected_to_GPIO_and_UART,576409913,Verilog,APB_Bus_Connected_to_GPIO_and_UART,82,5,2024-04-02 03:48:56+00:00,[],None
14,https://github.com/Zhenghao-He/MutiCycle-CPU.git,2022-12-09 13:31:58+00:00,,0,Zhenghao-He/MutiCycle-CPU,576292895,Verilog,MutiCycle-CPU,8277,4,2024-04-08 14:33:01+00:00,[],None
15,https://github.com/NanUshio/32Bit_Signed_Booth2_Multiplier.git,2022-12-08 06:17:24+00:00,,0,NanUshio/32Bit_Signed_Booth2_Multiplier,575717165,Verilog,32Bit_Signed_Booth2_Multiplier,49,4,2023-11-21 08:32:09+00:00,[],None
