,clone_url,created_at,description,forks_count,full_name,id,language,name,size,stargazers_count,updated_at,topics,license_url
0,https://github.com/raysalemi/uvmprimer.git,2013-11-27 19:47:21+00:00,Contains the code examples from The UVM Primer Book sorted by chapters.,195,raysalemi/uvmprimer,14757330,SystemVerilog,uvmprimer,6045,433,2024-04-11 07:12:52+00:00,[],None
1,https://github.com/VerificationExcellence/SystemVerilogReference.git,2014-04-30 00:08:05+00:00,training labs and examples,171,VerificationExcellence/SystemVerilogReference,19295560,SystemVerilog,SystemVerilogReference,50,371,2024-04-08 18:57:42+00:00,[],None
2,https://github.com/VerificationExcellence/UVMReference.git,2014-07-18 15:29:45+00:00,Reference examples and short projects using UVM Methodology,148,VerificationExcellence/UVMReference,21985000,SystemVerilog,UVMReference,24,237,2024-04-01 16:34:48+00:00,[],None
3,https://github.com/veripool/verilog-mode.git,2013-02-24 16:06:42+00:00,"Verilog-Mode for Emacs with Indentation, Hightlighting and AUTOs. Master repository for pushing to GNU, verilog.com and veripool.org.",88,veripool/verilog-mode,8392762,SystemVerilog,verilog-mode,3186,237,2024-04-13 15:36:26+00:00,"['verilog', 'emacs-lisp', 'verilog-mode', 'systemverilog']",https://api.github.com/licenses/gpl-3.0
4,https://github.com/cluelogic/uvm-tutorial-for-candy-lovers.git,2014-04-03 16:43:26+00:00,Source code repo for UVM Tutorial for Candy Lovers,93,cluelogic/uvm-tutorial-for-candy-lovers,18410509,SystemVerilog,uvm-tutorial-for-candy-lovers,57,162,2024-03-20 01:07:13+00:00,[],None
5,https://github.com/VerificationExcellence/SystemVerilogAssertions.git,2014-06-22 05:24:17+00:00,Examples and reference for System Verilog Assertions,49,VerificationExcellence/SystemVerilogAssertions,21086331,SystemVerilog,SystemVerilogAssertions,5,81,2024-04-08 10:44:43+00:00,[],None
6,https://github.com/dovstamler/uvm_agents.git,2014-05-22 19:46:23+00:00,UVM agents,35,dovstamler/uvm_agents,20074609,SystemVerilog,uvm_agents,350,69,2024-03-12 19:10:53+00:00,[],https://api.github.com/licenses/apache-2.0
7,https://github.com/swetland/zynq-sandbox.git,2014-05-12 04:40:46+00:00,a playground for xilinx zynq fpga experiments,9,swetland/zynq-sandbox,19686070,SystemVerilog,zynq-sandbox,123,47,2023-07-21 08:13:28+00:00,[],None
8,https://github.com/doswellf/combinator-uvm.git,2014-04-12 01:37:11+00:00,UVM Testbench For SystemVerilog Combinator Implementation,37,doswellf/combinator-uvm,18693562,SystemVerilog,combinator-uvm,18723,44,2024-03-13 04:54:39+00:00,[],None
9,https://github.com/unihd-cag/openhmc.git,2014-09-19 10:51:11+00:00,openHMC - an open source Hybrid Memory Cube Controller,11,unihd-cag/openhmc,24226543,SystemVerilog,openhmc,10156,43,2024-03-08 14:39:55+00:00,[],https://api.github.com/licenses/lgpl-3.0
